MAKE,MODEL,ENGINESIZE,CYLINDERS,FUELCONSUMPTION,CO2EMISSIONS
AUDI,R8,4.2,8,10,336
AUDI,Q7 TDI CLEAN DIESEL,3,6,26,600
AUDI,Q7,3,6,21,304
AUDI,Q5 TDI CLEAN DIESEL,,6,31,246
AUDI,Q5 HYBRID,2,4,31,212
AUDI,Q5,2,,27,239
AUDI,A8,3,6,25,258
AUDI,A7 QUATTRO TDI CLEAN DIESEL,3,6,34,224
AUDI,A6 QUATTRO,,4,28,235
AUDI,A5 QUATTRO,2,4,50,214
AUDI,A4,2,4,32,202
BENTLEY,MULSANNE,6.8,8,15,437
BENTLEY,FLYING SPUR,6,12,17,380
BENTLEY,CONTINENTAL GTC,6,12,17,380
BENTLEY,CONTINENTAL GTC,4,8,20,322
BENTLEY,CONTINENTAL GT SPEED CONVERTIBLE,6,12,17,380
BENTLEY,CONTINENTAL GT CONVERTIBLE,4,,20,320
BENTLEY,CONTINENTAL GT,6,12,18,356
BENTLEY,CONTINENTAL GT,9,8,22,297
BMW,X6 xDRIVE35i,3,6,24,
BMW,X6 M,4.4,8,18,370
BMW,X5 xDRIVE50i,4.4,8,20,320
BMW,X3 xDRIVE28i,2,4,28,230
BMW,X1 xDRIVE28i,2,4,31,209
BMW,535i xDRIVE,3,6,45,232
BMW,335i,3,6,29,221
BMW,335i,3,6,28,230
BMW,320i,2,4,34,193
CHEVROLET,EQUINOX,3.6,6,24,276
CHEVROLET,EQUINOX,3.6,6,17,259
CHEVROLET,EQUINOX,2.4,4,31,209
CHEVROLET,CRUZE ECO,1.4,4,37,177
CHEVROLET,CRUZE ECO,1.4,4,40,163
CHEVROLET,CRUZE,NaN,4,36,179
CHEVROLET,CORVETTE,6.2,8,24,276
CHEVROLET,CORVETTE,6.2,8,25,258
CHEVROLET,CAMARO,3.6,6,25,258
CHEVROLET,CAMARO,3.6,6,24,269
CHRYSLER,200 CONVERTIBLE FFV,3.6,6,27,242
CHRYSLER,200 CONVERTIBLE,2.4,4,28,232
CHRYSLER,200 CONVERTIBLE,2.4,4,26,246
FIAT,500 CABRIO,1.4,4,36,182
FIAT,500 ABARTH HATCHBACK,1.4,4,36,179
FIAT,500 ABARTH CABRIO,1.4,4,36,179
FORD,MUSTANG,3.7,6,28,235
FORD,FUSION HYBRID,2,4,51,126
FORD,FUSION,1.5,4,33,196
FORD,FOCUS FFV,2,4,37,177
FORD,FOCUS,2,4,32,205
FORD,EXPLORER FFV,3.5,6,24,274
FORD,ESCAPE,1.6,4,31,209
FORD,EDGE,2,4,29,225
FORD,E150 VAN FFV,4.6,8,45,373
HONDA,CR-V,2.4,4,31,209
HONDA,CIVIC,1.8,4,40,161
HONDA,ACCORD HYBRID,2,4,59,110
HONDA,ACCORD,2.4,4,36,182
JAGUAR,XJL SUPERCHARGED,5,8,16,280
JAGUAR,XF 3.0L AWD,3,6,23,281
JAGUAR,XF,2,4,27,242
JAGUAR,F-TYPE CONVERTIBLE,3,6,27,237
JEEP,PATRIOT 4X4,2.4,4,28,235
JEEP,COMPASS 4X4,2.4,4,30,216
JEEP,COMPASS,2,4,29,225
JEEP,CHEROKEE,2.4,4,30,218
LAND ROVER,RANGE ROVER EVOQUE COUPE,2,4,29,225
LAND ROVER,RANGE ROVER EVOQUE,2,4,29,225
LAND ROVER,LR4,3,6,19,334
LAND ROVER,LR2,2,4,24,274
MERCEDES-BENZ,SLS AMG ROADSTER,6.2,8,18,361
MERCEDES-BENZ,ML 63 AMG 4MATIC,5.5,8,18,356
MERCEDES-BENZ,ML 550 4MATIC,4.7,8,80,600
MERCEDES-BENZ,ML 350 BLUETEC 4MATIC,3,6,27,278
MERCEDES-BENZ,E 550 4MATIC,4.7,8,24,267
MERCEDES-BENZ,E 400 HYBRID,3.5,6,32,202
MERCEDES-BENZ,C 250,1.8,4,30,216
MERCEDES-BENZ,B 250,2,4,35,184
MINI,COOPER ROADSTER,1.6,4,36,179
MINI,COOPER COUPE,1.6,4,39,168
MINI,COOPER COUNTRYMAN,1.6,4,32,200
MINI,COOPER CONVERTIBLE,1.6,4,36,179
MINI,COOPER CLUBMAN,1.6,4,36,179
NISSAN,XTERRA 4WD,4,6,21,315
NISSAN,VERSA,1.6,4,43,152
NISSAN,TITAN 4WD,5.6,8,16,398
NISSAN,TITAN,5.6,8,18,359
NISSAN,SENTRA,1.8,4,36,179
NISSAN,PATHFINDER,3.5,6,27,244
NISSAN,NV200 CARGO VAN,2,4,30,214
NISSAN,JUKE,1.6,4,35,186
NISSAN,GT-R,3.8,6,22,297
PORSCHE,PANAMERA 4S EXECUTIVE,3,6,25,264
PORSCHE,PANAMERA 4S,3,6,25,260
PORSCHE,PANAMERA 4,3.6,6,25,255
PORSCHE,PANAMERA,3.6,6,26,251
PORSCHE,CAYENNE TURBO,4.8,8,21,315
PORSCHE,BOXSTER,2.7,6,29,179
PORSCHE,911 GT3,3.8,6,20,322
PORSCHE,911 CARRERA 4 CABRIOLET,3.4,6,27,242
